
Initial pcm(0x7EC0) Step = (0) /cnt=25 / F8 FF 31 22 21 02 00 33 56 B8 00 75 87 87 77 00 77 A9 45 55 00 66 55 56 45
;ADPCM5   Step  PcmCode
   0   75      0x8A71
   13   74      0x7A39
   2   74      0x84C1
   5   73      0x9BED
   10   73      0x9A03
   16   72      0x811E
   0   72      0x82DB
   4   71      0x9286
   1   71      0x9745
   10   70      0x95B0
   0   70      0x9720
   11   69      0x92D0
   11   69      0x8EE5
   4   68      0x9AAA
   3   68      0xA2FB
   11   67      0x9F6B
   12   67      0x9A04
   0   66      0x9B18
   2   66      0xA001
   3   65      0xA6E1
   1   65      0xA98E
   13   64      0xA34E
   13   64      0x9DA1
   2   63      0xA1AF
   4   63      0xA854
   11   62      0xA61D
   14   62      0xA014
   14   61      0x9A0B
   10   61      0x996F
   2   60      0x9C7B
   11   60      0x9AD1
   17   59      0x927F
   15   59      0x8CF3
   12   58      0x8A6E
   0   58      0x8AE3
   12   57      0x8899
   17   57      0x825B
   18   59      0x7B46
   10   59      0x7AC5
   11   58      0x7942
   18   58      0x7177
   16   57      0x6B82
   14   57      0x67C3
   14   56      0x6404
   f   56      0x6FC3
   13   55      0x6D1C
   1f   55      0x6270
   1f   71      0x57C4
   9   71      0x75D7
   1   70      0x7A96
   1f   70      0x4DFC
   12   69      0x46CB
   d   69      0x6A1B
   0   68      0x6B69
   14   68      0x60B6
   2   67      0x66A7
   12   67      0x6140
   12   66      0x5BD9
   b   66      0x7273
   4   65      0x7B4B
   19   65      0x6A52
   1   64      0x6CFF
   8   64      0x7ACD
   16   63      0x7040
   1   63      0x7277
   f   79      0x895A
   10   79      0x85F6
   13   78      0x6E37
   1   78      0x7777
   3   77      0x8D0D
   10   77      0x8A40
   10   76      0x8773
   10   76      0x84E7
   11   75      0x7D42
   0   75      0x7F93
   5   74      0x9910
   0   74      0x9B2B
   15   73      0x83FF
   10   73      0x8215
   4   72      0x9351
   0   72      0x950E
   10   71      0x9351
   1   71      0x9810
   11   70      0x9351
   13   70      0x8940
   4   69      0x9633
   5   69      0xA495
   12   68      0x9E0C
   12   68      0x981B
   1   67      0x9BAB
   1   67      0x9EE8
   2   66      0xA44F
   2   66      0xA938
   12   65      0xA44F
   15   65      0x9A7C
   3   64      0xA0BC
   5   64      0xA9A9
   11   63      0xA73B
   15   63      0x9F1C
   13   62      0x99F1
   0   62      0x9A9C
   1   61      0x9C9E
   10   61      0x9C02
   16   60      0x9415
   15   60      0x8DFB
   11   59      0x8C51
   10   59      0x8BD0
   12   58      0x894B
   15   58      0x8441
   16   57      0x7E4C
   11   57      0x7D0D
   11   56      0x7BCE
   17   56      0x761F
   19   60      0x6EEC
   13   60      0x6B0A
   14   59      0x660C
   7   59      0x6D9C
   6   58      0x742A
   1f   58      0x65F5
   1f   74      0x57C0
   2   74      0x6248
   7   73      0x81E1
   1a   73      0x59A9
   16   72      0x40C4
   8   72      0x5E5D
   5   71      0x7183
   15   71      0x601A
   1   70      0x64D9
 
Initial pcm(0x6BC0) Step = (70) /cnt=150 / D9 46 5A 96 30 CC 56 39 49 04 33 20 77 79 59 99 15 54 90 21 60 10 60 81 81 CF 20 03 00 62 BF 00 22 35 31 CF 69 42 0B FF 4C 45 3E 3A 44 B3 53 9B 07 47 89 D3 51 40 20 66 00 30 42 42 92 11 00 01 04 61 01 11 13 14 AE 16 24 00 51 7B 06 30 62 37 9F B2 04 53 F2 99 53 63 53 22 66 01 42 34 31 13 01 08 0B 1C CD 15 23 7E BF 2C 27 02 20 52 C3 30 20 32 51 38 70 50 05 12 F7 87 10 41 37 3E 23 7C 81 0F 33 FF 36 1E 29 CD 23 31 58 16 36 37 C1 40 50 9A 20 11 60 82
;ADPCM5   Step  PcmCode
  16   70      0x590C
   4   69      0x65FF
   a   69      0x8176
   15   68      0x7314
   16   68      0x63A0
   9   72      0x7A37
   10   72      0x787A
   13   71      0x6C4B
   6   71      0x80DF
   5   70      0x9248
   19   70      0x76F2
   13   69      0x6CE1
   9   69      0x85BA
   4   68      0x917F
   14   68      0x86CC
   10   67      0x859C
   10   67      0x8488
   12   66      0x7F21
   7   66      0x8DDE
   7   65      0x9C9B
   19   65      0x8BA2
   17   64      0x7E3C
   9   64      0x8DA9
   5   63      0x9696
   15   63      0x8E77
   1   62      0x90AE
   4   62      0x96B7
   15   61      0x8F57
   10   61      0x8EBB
   9   65      0x9A52
   1   65      0x9CFF
   12   64      0x9888
   0   64      0x9957
   1   63      0x9BC5
   0   63      0x9C82
   6   62      0xA61B
   1   62      0xA81D
   18   64      0x9CB5
   11   64      0x9A47
   8   66      0xA815
   10   66      0xA71A
   12   65      0xA231
   13   65      0x9BF1
   10   64      0x9B0D
   0   64      0x9BDC
   0   63      0x9CAB
   12   63      0x98FA
   16   62      0x8F61
   10   62      0x8EB6
   10   61      0x8E0B
   12   61      0x8AFF
   12   60      0x87F3
   15   60      0x81D9
   13   59      0x7DF7
   1   59      0x7F7A
   13   58      0x7BF3
   19   58      0x733E
   16   57      0x6D49
   12   57      0x6B35
   14   56      0x6776
   b   56      0x702D
   0   55      0x708E
   1f   55      0x65E2
   1f   71      0x5B36
   5   71      0x6C9F
